Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR618GKP,ENCODE3,Richard Myers,,,,C57BL/6 limb embryo (12.5 days),limb,"Ali Mortazavi, UCI",ENCODE,Mus musculus,tissue,8/15/17,"August, 2017",Transcription,RNA-seq,microRNA-seq,microRNA-seq
ENCSR000EAN,ENCODE2,Michael Snyder,,RELA,RELA,GM12892 treated with tumor necrosis factor,GM12892,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR668MJX,ENCODE3,Brenton Graveley,,GRSF1,GRSF1,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,4/26/16,"April, 2016",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR000ARY,ENCODE2,Bradley Bernstein,,H3K9ac,HIST2H3C,DND-41,DND-41,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR290RXI,ENCODE3,Thomas Gingeras,,,,myometrial cell female adult (34 years),myometrial cell,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,primary cell,8/18/15,"August, 2015",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR000EJH,ENCODE2,Gregory Crawford,,,,GM13977,GM13977,"Gregory Crawford, Duke",ENCODE,Homo sapiens,immortalized cell line,8/28/12,"August, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR861GYE,ENCODE3,Brenton Graveley,,LIN28B,LIN28B,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,11/9/15,"November, 2015",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR000CGK,ENCODE2-Mouse,Bing Ren,,H3K4me3,Hist2h3c1,B10.H-2aH-4bp/Wts CH12.LX,CH12.LX,"Bing Ren, UCSD",ENCODE,Mus musculus,immortalized cell line,9/5/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR082DIF,ENCODE3,David Gilbert,,,,primitive gut cell originated from CyT49,primitive gut cell,"David Gilbert, FSU",ENCODE,Homo sapiens,in vitro differentiated cells,7/21/15,"July, 2015",Replication timing,Repli-chip,Repli-chip,Repli-chip
ENCSR000APL,ENCODE2,Bradley Bernstein,,H3K9me3,HIST2H3C,osteoblast,osteoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000FAL,ENCODE2,Michael Snyder,,POLR2A,POLR2A,NB4,NB4,"Sherman Weissman, Yale",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR963HAR,ENCODE3,Bradley Bernstein,,H3K27me3,HIST2H3C,Karpas-422,Karpas-422,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ESY,ENCODE2-Mouse,Michael Snyder,,MAFK,Mafk,DBA/2 MEL cell line treated with dimethyl sulfoxide,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,6/15/12,"June, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CLU,ENCODE2-Mouse,John Stamatoyannopoulos,,,,B6D2F1/J 416B,416B,"John Stamatoyannopoulos, UW",ENCODE,Mus musculus,immortalized cell line,7/10/12,"July, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR900AQL,ENCODE3,Michael Snyder,,KHSRP,KHSRP,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/18/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,RNA binding protein
ENCSR046FQX,ENCODE3,Michael Snyder,,LDB1,LDB1,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/18/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,transcription factor
ENCSR171RTN,ENCODE3,Michael Snyder,,CTBP1,CTBP1,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/18/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,transcription factor
ENCSR000ADP,ENCODE2-Mouse,Michael Snyder,,H3K27me3,Hist2h3c1,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EJU,ENCODE2,Gregory Crawford,,,,hepatocyte,hepatocyte,"Gregory Crawford, Duke",ENCODE,Homo sapiens,primary cell,4/19/11,"April, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000ADR,ENCODE2-Mouse,Michael Snyder,,H3K4me3,Hist2h3c1,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR288LNF,ENCODE3,Bing Ren,,H3K4me2,Hist2h3c1,C57BL/6 stomach postnatal (0 days),stomach,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ELN,ENCODE2,Gregory Crawford,,,,HGPS cell,HGPS cell,"Gregory Crawford, Duke",ENCODE,Homo sapiens,immortalized cell line,4/19/11,"April, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR450BNZ,ENCODE3,Thomas Gingeras,,,,Peyer's patch female adult (51 year),Peyer's patch,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,5/3/16,"May, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR471RUK,ENCODE3,Thomas Gingeras,,,,stomach male adult (37 years),stomach,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/4/16,"August, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR464UVO,ENCODE3,Thomas Gingeras,,,,heart left ventricle female adult (53 years),heart left ventricle,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/5/16,"August, 2016",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR779BVZ,ENCODE3,Thomas Gingeras,,,,esophagus squamous epithelium female adult (51 year),esophagus squamous epithelium,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,6/13/16,"June, 2016",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR634VLA,ENCODE3,Thomas Gingeras,,,,right lobe of liver female adult (53 years),right lobe of liver,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/5/16,"August, 2016",Transcription,RNA-seq,small RNA-seq,small RNA-seq
